family,params,build_sec,index_bytes,search_sec,recall_at_k
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 32}",1.475162,59259346,0.035487,0.158720
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 64}",1.475162,59259346,0.045134,0.228635
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 128}",1.475162,59259346,0.071538,0.319935
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 32}",3.367716,59259346,0.030734,0.189160
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 64}",3.367716,59259346,0.031949,0.275050
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 128}",3.367716,59259346,0.078142,0.378830
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 32}",2.697292,65633274,0.046796,0.250575
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 64}",2.697292,65633274,0.086118,0.345420
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 128}",2.697292,65633274,0.192958,0.470070
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 32}",7.846404,65633274,0.053793,0.333040
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 64}",7.846404,65633274,0.084506,0.448155
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 128}",7.846404,65633274,0.141190,0.576625
HNSW,"{""M"": 24, ""efConstruction"": 40, ""efSearch"": 32}",16.675734,72024366,0.087345,0.360320
HNSW,"{""M"": 24, ""efConstruction"": 40, ""efSearch"": 64}",16.675734,72024366,0.150197,0.462545
HNSW,"{""M"": 24, ""efConstruction"": 40, ""efSearch"": 128}",16.675734,72024366,0.218616,0.595320
HNSW,"{""M"": 24, ""efConstruction"": 120, ""efSearch"": 32}",11.370128,72024366,0.068863,0.424555
HNSW,"{""M"": 24, ""efConstruction"": 120, ""efSearch"": 64}",11.370128,72024366,0.148962,0.547170
HNSW,"{""M"": 24, ""efConstruction"": 120, ""efSearch"": 128}",11.370128,72024366,0.192394,0.678435
IVF_PQ,"{""nlist"": 128, ""m"": 16, ""nprobe"": 1}",1.479523,2597812,0.017459,0.045360
IVF_PQ,"{""nlist"": 128, ""m"": 16, ""nprobe"": 4}",1.479523,2597812,0.034368,0.092980
IVF_PQ,"{""nlist"": 128, ""m"": 16, ""nprobe"": 16}",1.479523,2597812,0.098683,0.157965
IVF_PQ,"{""nlist"": 128, ""m"": 16, ""nprobe"": 64}",1.479523,2597812,0.407355,0.217440
IVF_PQ,"{""nlist"": 128, ""m"": 32, ""nprobe"": 1}",1.916124,4197812,0.019862,0.047895
IVF_PQ,"{""nlist"": 128, ""m"": 32, ""nprobe"": 4}",1.916124,4197812,0.050881,0.123350
IVF_PQ,"{""nlist"": 128, ""m"": 32, ""nprobe"": 16}",1.916124,4197812,0.202415,0.287300
IVF_PQ,"{""nlist"": 128, ""m"": 32, ""nprobe"": 64}",1.916124,4197812,0.773220,0.481330
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 1}",2.625595,2797492,0.018670,0.031595
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 4}",2.625595,2797492,0.029265,0.065245
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 16}",2.625595,2797492,0.056766,0.120935
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 64}",2.625595,2797492,0.174891,0.187035
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 1}",3.155395,4397492,0.015253,0.032295
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 4}",3.155395,4397492,0.027239,0.075345
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 16}",3.155395,4397492,0.093854,0.185110
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 64}",3.155395,4397492,0.331930,0.368365
LSH,"{""nbits"": 64}",0.077300,832861,0.055523,0.037345
LSH,"{""nbits"": 128}",0.126206,1665629,0.094495,0.085410
LSH,"{""nbits"": 256}",0.233492,3331165,0.136531,0.144415
LSH,"{""nbits"": 512}",0.474964,6662237,0.234722,0.215730
